iter	Passed	Remaining
0	48	48467
1	50	25294
2	53	17704
3	54	13605
4	56	11146
5	57	9499
6	58	8323
7	59	7439
8	61	6758
9	62	6214
10	64	5784
11	65	5409
12	67	5090
13	68	4818
14	69	4578
15	71	4368
16	72	4185
17	73	4019
18	75	3872
19	76	3738
20	77	3618
21	78	3510
22	80	3411
23	81	3318
24	82	3235
25	84	3156
26	85	3084
27	86	3017
28	88	2953
29	89	2894
30	90	2838
31	92	2786
32	93	2738
33	94	2693
34	96	2649
35	97	2608
36	98	2569
37	100	2532
38	101	2498
39	102	2465
40	104	2434
41	105	2404
42	106	2375
43	108	2347
44	109	2323
45	110	2298
46	112	2274
47	113	2250
48	114	2228
49	116	2208
50	117	2187
51	118	2169
52	121	2172
53	122	2154
54	124	2136
55	125	2118
56	126	2099
57	128	2083
58	129	2068
59	131	2053
60	132	2038
61	133	2023
62	135	2008
63	136	1994
64	137	1981
65	139	1968
66	140	1951
67	141	1933
68	141	1915
69	142	1897
70	143	1879
71	144	1862
72	145	1846
73	146	1830
74	147	1820
75	148	1803
76	148	1785
77	149	1768
78	150	1752
79	150	1735
80	151	1719
81	152	1704
82	152	1685
83	153	1670
84	153	1656
85	154	1642
86	155	1629
87	155	1615
88	156	1601
89	156	1587
90	157	1573
91	158	1559
92	158	1546
93	159	1533
94	159	1520
95	160	1507
96	160	1495
97	161	1483
98	161	1471
99	162	1459
100	162	1448
101	163	1437
102	163	1426
103	164	1415
104	164	1404
105	165	1392
106	165	1381
107	166	1371
108	166	1360
109	166	1350
110	167	1340
111	167	1330
112	168	1320
113	168	1310
114	169	1301
115	169	1292
116	169	1282
117	170	1273
118	170	1264
119	171	1255
120	171	1247
121	172	1237
122	172	1229
123	172	1220
124	173	1212
125	173	1204
126	173	1195
127	174	1187
128	174	1179
129	175	1171
130	175	1163
131	175	1155
132	176	1148
133	176	1140
134	176	1133
135	177	1126
136	177	1119
137	178	1112
138	178	1105
139	178	1098
140	179	1091
141	179	1084
142	179	1077
143	180	1070
144	180	1064
145	180	1057
146	181	1051
147	181	1044
148	181	1038
149	182	1032
150	182	1026
151	182	1020
152	183	1014
153	183	1008
154	183	1002
155	184	996
156	184	990
157	184	984
158	185	979
159	185	973
160	185	967
161	186	962
162	186	956
163	186	951
164	187	946
165	187	941
166	187	936
167	188	931
168	188	925
169	188	921
170	188	916
171	189	911
172	189	906
173	189	901
174	190	896
175	190	891
176	190	886
177	191	882
178	191	877
179	191	873
180	191	868
181	192	863
182	192	859
183	192	855
184	193	850
185	193	846
186	193	842
187	193	837
188	194	833
189	194	829
190	194	825
